ID,smiles,density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,BDE
ONABAH,[O-][N+](=O)c1ccccc1Nc1nnc(o1)c1ccccc1,1.4612,4.646,8.5,2.646,1.471,555,20.6,304.6
NUDLIH,CC[NH+](Cc1cc(ccc1[O-])[N+](=O)[O-])CC,1.311,4.281,6.7,1.533,1.379,899,-382.2,310.2
UFEDOY,[O-][N+](=O)c1ccc(c2c1non2)N1CCCC1,1.5224,5.706,13.2,3.719,2.491,669,144.8,300.7
PESJIH,C/C=N/Nc1ccc(cc1)[N+](=O)[O-],1.3456,5.074,9.6,3.006,2.256,750,54.5,309.9
OJIRIJ,COc1ccc(c(c1)[N+](=O)[O-])c1cnc2c(n1)cccc2,1.4197,4.332,7.3,2.415,1.347,557,-47.0,263.4
NUMXAV,CNC(=C([N+](=O)[O-])[N+](=O)[O-])N,1.7508,7.972,28.3,5.098,3.876,760,-98.1,285.1
TIVMER,N#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-],1.4728,4.461,7.9,2.203,1.224,555,-104.3,298.8
BOQHEU,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-],1.4052,4.988,9.6,3.54,1.916,541,-279.5,264.1
POQFOS,CC(=O)Nc1ccc(c(c1)[N+](=O)[O-])O,1.4793,4.966,9.8,2.575,1.471,571,-464.9,315.1
ZZZGVU01,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C,1.5107,5.927,14.2,4.553,2.521,553,-95.3,270.1
GIBZAV,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-],1.3283,4.241,6.6,2.29,1.449,633,-77.5,275.7
GETFIU01,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-],1.7267,7.246,23.2,5.449,2.906,533,114.5,258.6
BEDROT,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-],1.5432,5.039,10.4,3.071,1.545,503,-361.1,247.8
LOBWIJ,ON1C(=O)c2cc(ccc2CC1(C)C)[N+](=O)[O-],1.4492,4.841,9.2,2.446,1.624,664,-390.3,289.0
MUDWEO01,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1Nc1ccccc1)Nc1ccccc1,1.4023,4.529,7.9,2.71,1.56,575,-18.9,309.3
ERUDAX,COC(=O)Nc1ccc(cc1)[N+](=O)[O-],1.501,5.018,10.1,2.584,1.476,571,-463.2,301.5
MUYLAT,Cc1cc(C)n(c(=O)n1)c1cccc(c1)[N+](=O)[O-],1.4105,4.483,7.8,2.142,1.37,639,-200.8,287.8
VENLOQ,O=C(C(=O)Nc1ccc(cc1)[N+](=O)[O-])Nc1ccc(cc1)[N+](=O)[O-],1.5787,5.203,11.3,2.937,1.495,508,-439.4,294.1
BELMOU,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1,1.4962,5.167,10.7,3.081,1.89,613,-50.7,291.5
VAZCAC01,[O-][N+](=O)c1nn(c(n1)[N+](=O)[O-])N,1.8548,8.919,36.6,6.159,4.361,707,238.9,264.7
DUMPAC,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C,1.4443,6.55,16.8,4.384,3.776,861,-183.3,158.1
ACALUL,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-],1.3151,3.551,4.6,1.122,0.843,751,-391.3,301.4
JUFLAX,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2,1.5473,4.603,8.7,2.945,1.184,402,-457.0,258.8
TEBCAE,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@]5([C@H]2C[C@H]3[C@@]5([C@H]4C1)[N+](=O)[O-])[N+](=O)[O-],1.6255,5.964,15.1,4.227,2.342,554,-193.1,232.6
LIXWAS,COc1ccc(cc1)/C=N/Nc1ccccc1[N+](=O)[O-],1.3624,4.527,7.7,2.556,1.689,661,-32.8,311.3
LAPWOR,[O-][N+](=O)c1cc(cc(c1[N+](=O)[O-])[N+](=O)[O-])n1cnnn1,1.7952,7.73,27.0,5.653,3.267,577,339.2,216.3
FIPZIN,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N,1.7155,8.471,31.5,6.243,4.806,769,634.8,177.3
GATPEW,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-],1.3141,4.331,6.9,2.459,1.727,702,143.6,279.6
SINZEW,O=C(c1cc(O)cc(c1)O)N/N=C/c1ccc(cc1)[N+](=O)[O-],1.5382,4.812,9.5,2.595,1.351,520,-428.4,293.0
DIPHUI,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-],1.3953,4.98,9.5,1.901,1.695,891,-296.0,313.9
MANXUW,[O-][N+](=O)c1cc2O[C@@H](CNc2cc1)OCCCC,1.3282,4.382,7.1,1.755,1.403,799,-525.3,310.5
ZUHQUO,O=C1N([N+](=O)[O-])[C@]2([C@@](N1[N+](=O)[O-])(C2)C)C,1.5749,6.843,19.5,4.894,3.298,673,-109.3,122.9
REWDUS,CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1cccc(c1)[N+](=O)[O-],1.4394,4.381,7.5,1.646,1.087,660,-707.5,292.7
OGENIY01,O=C(c1cccc(c1)[N+](=O)[O-])Nc1cccc2c1nccc2,1.4376,4.066,6.5,1.974,1.056,535,-147.3,287.4
JEHNUF,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1,1.4655,4.501,8.0,2.76,1.267,458,-296.0,285.4
VOQJER,CCc1ccc(cc1N)[N+](=O)[O-],1.3611,4.617,8.0,2.043,1.653,809,-144.6,299.3
VIKYOD,[O-][N+](=O)[C@@H]1[C@H]2[C@@H]3[C@@H]4C[C@H]2[C@@H]2[C@H]1[C@H]([C@H]3[N+](=O)[O-])[C@H]42,1.5219,5.428,12.0,3.398,2.256,664,-165.6,223.9
UBATOI,OC[C@]1(CN(C[C@H]1c1ccc(cc1)C)C)[N+](=O)[O-],1.2282,3.932,5.4,1.407,1.26,895,-373.7,207.0
TIXQUM,[O-][N+](=O)c1ccc(c(c1)N)C,1.3733,4.801,8.7,2.417,1.78,736,-116.3,298.6
TAFFIP,[O-][N+](=O)[C@@H]1c2ccccc2[C@H](c2c1cccc2)[N+](=O)[O-],1.4823,4.724,8.9,3.255,1.62,497,-88.6,113.1
RUQWEG,C/C(=N\NC(=O)c1ccccc1O)/c1ccc(cc1)[N+](=O)[O-],1.434,4.47,7.8,2.244,1.344,599,-296.6,296.8
UQACEV,COC(=O)c1cc2c([nH]1)ccc(c2)[N+](=O)[O-],1.522,4.758,9.2,2.534,1.29,508,-412.0,300.1
DUJSIL,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-],1.4089,4.516,7.9,2.446,1.465,599,-236.0,295.3
FIBLIL,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1,1.4281,4.977,9.6,2.839,1.886,664,-297.4,290.7
KATGAO,O=C(c1ccccc1)N/N=C/c1cc(ccc1O)[N+](=O)[O-],1.4963,4.669,8.8,2.523,1.388,550,-248.4,295.8
NMALAM,N/C(=C(/C(=O)N)\[N+](=O)[O-])/O,1.7801,6.722,20.3,2.581,1.868,723,-521.8,
PEXKEI,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N[C@]2(C)c2c1cccc2,1.3275,3.68,5.0,1.599,1.077,673,-58.2,296.5
UHATON,O/N=C/1\N[C@H]([N+](=O)C1=[NH2+])c1ccccc1[N+](=O)[O-],1.5648,6.07,15.3,4.061,2.536,624,51.8,288.2
CIQCAJ,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O,1.4921,4.701,8.9,2.601,1.415,544,-460.4,296.3
QOTGEL01,[O-][N+](=O)c1ccc(nc1)NC1CCCCCCC1,1.2421,3.83,5.2,1.123,1.11,988,-204.1,309.6
JEHLEN,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-],1.7564,7.943,28.1,5.148,3.622,703,-312.0,154.1
BEPQET,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2,1.427,3.922,6.0,2.013,1.134,563,-85.3,299.0
YATCOL,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@]1(C)C=C[C@@H]2O[C@H]1OC2,1.525,5.371,11.7,3.32,1.77,533,-732.4,277.7
ZEJWUJ,CCOC(=O)/C(=C/1\c2ccccc2N(C1=O)C)/[N+](=O)[O-],1.4617,4.617,8.4,2.345,1.332,567,-562.2,227.2
FOBZUS,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2,1.4031,4.198,6.8,2.256,1.268,562,55.6,265.8
XAZQAR,[O-][N+](=O)c1ccc2c(c1)NCCC2,1.4155,4.609,8.2,2.108,1.591,754,-108.5,299.1
AZAXEG,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],1.6418,5.993,15.3,3.297,1.861,564,-336.1,300.2
SOGDAU,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1nccnc1,1.4186,4.924,9.4,2.644,1.843,697,195.9,304.8
IJIVIG,[O-][N+](=O)Nc1ccc[n+](c1)[O-],1.613,6.717,19.1,5.134,3.152,614,91.4,128.8
IZIPUD,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,1.4907,5.221,10.9,3.386,1.919,566,-139.4,298.7
CUZMOZ,[O-][N+](=O)c1ccn(n1)C,1.4711,6.153,15.0,4.09,2.885,705,35.8,302.1
BOGSIA,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.4308,5.636,12.4,4.172,2.616,627,75.6,298.1
MICMEQ,CCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.3773,5.313,10.7,3.174,2.379,749,-208.7,300.0
PIGSIJ,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])n1cnc(c1[N+](=O)[O-])[N+](=O)[O-],1.8019,7.849,27.9,5.774,3.242,561,93.7,242.2
MNQUON10,COc1cc([N+](=O)[O-])c2c(c1=O)ccc[nH]2,1.5946,5.183,11.3,3.151,1.603,508,-276.4,360.9
CIJYIE,N#Cc1[nH]c(nc1[N+](=O)[O-])C,1.4774,5.798,13.4,3.923,2.312,589,111.6,283.9
KAYTUZ,NCCNc1ccc(cc1)[N+](=O)[O-],1.3565,4.871,8.9,2.141,1.854,865,-96.1,312.0
HITMUS,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-],1.3533,5.971,13.4,4.371,3.375,772,-206.8,151.4
TEDYOT,[O-][N+](=O)/N=c/1\[nH]nc(o1)c1n[nH]/c(=N\[N+](=O)[O-])/o1,1.9896,8.792,37.0,5.374,3.499,651,159.9,189.5
ADIDUN,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C,1.4203,4.616,8.3,2.112,1.424,674,-93.9,290.4
FAKVOC,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C,1.3179,4.355,7.0,1.939,1.514,781,16.6,309.7
RABPIP,COC(=O)/C(=C/[N+](=O)[O-])/NC(=O)c1ccccc1,1.404,4.666,8.4,2.646,1.422,537,-550.6,310.3
DILFUZ,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8757,9.27,39.8,6.745,4.761,705,-121.0,141.6
TIFWOX,O=C(c1ccccc1N)/C=C/c1ccc(cc1)[N+](=O)[O-],1.368,4.077,6.3,2.178,1.274,584,-141.9,292.4
FECJEE,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1,1.295,3.458,4.3,1.501,0.919,612,10.2,290.4
SOPZOM,Cc1cn(c(n1)C)c1ccc(cc1)[N+](=O)[O-],1.3807,4.44,7.5,2.029,1.465,722,-43.3,292.3
QOKYAR,CN1CC(=C2C(=C(c3ccccc3)c3c2cccc3)C1)[N+](=O)[O-],1.3091,3.668,4.9,1.847,1.224,662,78.1,273.3
ITIKAY01,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C,1.425,4.912,9.4,2.55,1.548,607,-699.1,297.8
AKEDUR,Oc1ccccc1C(=O)c1cn(C)c(=O)c(c1)[N+](=O)[O-],1.5046,4.632,8.7,2.575,1.262,490,-506.5,269.3
LUTXAB,CNC1=C(C=C2[C@@H](N1C)Oc1c(C2=O)cccc1)[N+](=O)[O-],1.4958,4.766,9.1,2.39,1.492,624,-281.4,328.8
JIPSAF,[O-][N+](=O)c1nonc1Nc1nnc2n(n1)cnn2,1.7944,7.959,28.6,5.785,3.627,627,810.3,280.4
MNHCHA,[O-][N+](=O)[C@@]12C[C@@H]1[C@]1(C[C@H]1C[C@@]2(O)C(=O)O)[N+](=O)[O-],1.6539,6.273,16.9,3.712,2.255,607,-647.9,255.6
CUTWIX,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,1.3844,5.594,11.9,3.723,2.647,710,-520.2,85.4
KOBQOH,CC(C[C@H](C(=O)O)NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C,1.4709,5.101,10.3,2.632,1.632,620,-837.7,275.6
DUJQOP,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O,1.5597,5.249,11.4,2.572,1.424,553,-455.9,305.1
HAWSOO,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C,1.421,5.502,11.7,4.31,2.462,571,-124.7,242.8
NPBUDY,[O-][N+](=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)[N+](=O)[O-],1.4426,4.617,8.4,4.56,1.749,383,362.2,288.7
JECVES,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O,1.3363,5.198,10.0,2.518,2.245,891,-156.3,290.2
TIBMOG,[O-][N+](=O)C1=C(N)[N+](=O)C(=C(C1=[NH2+])[N+](=O)[O-])N,1.8762,7.871,28.7,4.584,3.124,681,-66.5,322.0
PAGNUJ,[O-][N+](=O)c1ncn(c1)c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],1.7302,7.312,23.6,5.132,2.967,578,51.2,241.1
ECIBIB01,CN(c1ccccc1)[N+](=O)[O-],1.3192,5.028,9.3,3.221,2.373,736,6.0,124.0
IBAMIK,CCCCn1c2ccccc2c2c1ccc(c2)[N+](=O)[O-],1.3136,3.485,4.5,1.161,0.872,751,-172.6,306.0
CACFOD01,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-],1.5054,5.827,13.7,4.23,2.545,601,-34.1,253.9
QIMGOI,CCOC(=O)C1=C(C)OC(=C([C@@H]1c1cccc(c1)[N+](=O)[O-])C#N)N,1.3749,4.366,7.2,2.128,1.303,612,-509.2,291.1
ELEJUB,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],1.3048,4.003,5.8,1.811,1.216,671,-424.3,315.7
BEKDAW,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-],1.4095,4.68,8.4,3.17,1.603,505,15.4,284.8
AXAFIP,O=C1Nc2cccc(c2C(=O)N2[C@@H]1CCC2)[N+](=O)[O-],1.4619,4.556,8.2,2.039,1.224,600,-435.4,263.1
FUGVEJ,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],1.6719,7.272,22.9,4.536,3.363,741,-195.7,160.6
CATLUE,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.5343,5.134,10.8,3.46,1.642,474,-183.8,237.5
KASBEL,N#CN([N+](=O)[O-])CCCCN([N+](=O)[O-])C#N,1.5269,6.902,19.4,5.48,3.768,687,280.1,101.9
PIZHAH,O=NN1CC(C1)(CC)O[N+](=O)[O-],1.441,6.659,17.4,5.16,3.961,767,-64.4,136.5
PARPOO,[O-][N+](=O)c1ccc(nc1C)/N=N/c1ccccc1,1.389,4.79,8.8,2.92,1.891,647,223.0,273.9
RUGJUZ,[O-][N+](=O)c1n(C)cnc1[N+](=O)[O-],1.6374,7.319,22.8,5.242,3.413,651,23.3,257.9
PAVDOH,Cc1ccc(cc1)C(=O)N/N=C/c1cccc(c1)[N+](=O)[O-],1.3744,4.272,6.9,2.162,1.368,633,-113.7,287.3
UFEDUE,[O-][N+](=O)c1ccc(c2c1non2)N1CCCCC1,1.4751,5.514,12.1,3.404,2.459,722,118.8,293.6
GEDWIV,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C,1.4346,5.413,11.4,3.695,2.267,613,-130.4,83.3
WASRAJ,NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.6591,6.846,20.2,4.804,2.988,622,27.3,300.0
CIVVEI10,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.6881,5.888,15.1,3.456,1.695,490,-613.0,279.0
NAWQAD,[O-][N+](=O)c1cc(cc(c1N1CCOCC1)[N+](=O)[O-])[N+](=O)[O-],1.5973,6.503,17.8,4.698,2.824,601,-205.6,236.1
WAKDIW,C/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C=C/c1ccccc1,1.3921,4.867,9.1,3.195,1.975,618,74.3,297.9
MAPFUF,CCOc1cccc(c1O)/C=N/c1ccc(cc1)[N+](=O)[O-],1.3909,4.29,7.0,2.115,1.324,626,-362.7,296.9
QOFQIL,CC1(C)NC(NC1(C)C)c1ccc(cc1)[N+](=O)[O-],1.2539,3.772,5.0,1.032,1.021,988,-226.6,296.7
TUJVUR,CC(=O)c1cc(c2ccc(cc2)[N+](=O)[O-])c(=O)n(n1)c1ccccc1,1.4079,4.181,6.7,2.26,1.208,534,-210.4,290.9
GIMBOT,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7451,7.217,23.1,5.489,2.869,522,-28.6,236.2
EFATOW,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-],1.4105,4.892,9.2,2.961,1.96,661,117.5,294.4
ROFGAV,N#Cc1ccc(c(c1)[N+](=O)[O-])C,1.3872,4.779,8.7,3.378,1.868,552,63.6,271.4
ZIVCAI,CN(C(=O)Oc1ccc(cc1)[N+](=O)[O-])C,1.3874,4.799,8.8,2.492,1.594,639,-444.2,297.7
NAYPAF,[O-][N+](=O)N1[C@H]2O[C@H]3[C@@H]1N([N+](=O)[O-])[C@H]1O[C@@H]2N([N+](=O)[O-])[C@H]1N3[N+](=O)[O-],1.9671,8.875,37.5,5.683,3.819,671,-115.8,153.4
ZONKES,COc1ccc(cc1)N(CCOc1ccc(cc1)[N+](=O)[O-])C,1.3026,4.18,6.4,1.936,1.435,741,-382.7,304.9
SAWMIO,[O-][N+](=O)c1onc2c1CCCC2=O,1.5284,5.837,13.9,4.152,2.299,553,-168.3,281.1
HOFDOV01,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1,1.5754,6.456,17.3,4.769,3.159,662,80.4,87.6
QAQPIH,N#CC1=NO[C@](C1(C)C)(C#N)[N+](=O)[O-],1.4116,5.808,13.0,4.848,2.798,577,213.4,113.3
DAVXED,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],1.592,6.795,19.3,4.877,3.125,640,-425.7,77.8
QUNDIO02,O=C(c1cccc(c1)[N+](=O)[O-])c1cccc(c1)[N+](=O)[O-],1.5256,5.038,10.3,3.608,1.634,452,-185.0,284.0
NIAMBP,Nc1ccc(cc1)c1ccccc1[N+](=O)[O-],1.3239,4.057,6.1,2.169,1.362,627,-19.4,265.0
SIMGUR,[O-][N+](=O)/N=C/1\NCCN1CCC(=O)c1ccccc1,1.3828,4.701,8.4,2.075,1.596,769,-181.8,210.8
DOKYIL,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1,1.3278,3.801,5.3,1.909,1.213,635,121.6,309.3
FEPFIP,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-],1.3545,4.322,7.0,1.531,1.228,802,-540.4,312.3
YIBZUF,Cc1ccc(c(c1)/C=N/c1ccc(cc1)[N+](=O)[O-])O,1.3838,4.145,6.5,2.06,1.261,612,-198.2,296.6
QQQCOY10,O=C(Nc1ccccc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])C,1.3796,4.434,7.5,2.137,1.445,676,-88.7,304.0
DOJHAM,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C,1.4794,5.748,13.2,3.954,2.386,603,-367.9,278.5
FEFXUM,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-],1.7674,7.894,27.9,6.127,3.611,589,600.1,256.4
IQUHUZ,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-],1.4051,4.785,8.8,2.503,1.576,629,-344.2,296.1
EMOYIO,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-],1.3503,4.308,6.9,1.725,1.317,763,-512.0,262.8
HECFOK,[O-][N+](=O)c1cnc(n1C)c1ccccc1,1.4047,4.698,8.5,2.545,1.685,661,33.1,310.6
MEWSAK,[O-][N+](=O)C(CO[N+](=O)[O-])CO[N+](=O)[O-],1.7602,8.762,34.3,6.432,4.609,716,-331.4,144.6
CIWMEA10,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],1.861,9.035,37.6,6.693,4.685,699,13.0,164.5
REGCUB,Cc1nn2c(c1)[nH]nc2c1cccc(c1)[N+](=O)[O-],1.5452,5.291,11.5,2.926,1.887,645,227.4,290.9
HUKTUD,[O-][N+](=O)NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-],1.7579,8.306,30.8,5.515,4.354,789,-127.1,207.4
KOFKAR,[O-][N+](=O)N1CCCN(C1)[N+](=O)[O-],1.5719,7.255,21.9,5.249,4.007,763,-45.7,170.8
PAGQAS,N#[N+]/N=C/1\N=C(C=[N+]1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7008,7.404,23.9,5.535,3.142,567,377.3,238.4
MATCUF,O=c1nc(N(c2ccc(cc2)[N+](=O)[O-])C)n(c(=O)n1C)C,1.4945,4.813,9.3,1.844,1.277,692,-430.9,289.8
SAHCOV,COc1c(O)ccc(c1[N+](=O)[O-])/C=N/c1cc(C)cc(c1)C,1.318,4.139,6.3,2.019,1.356,671,-361.7,259.0
XETJUD,COc1ccc(c(c1[N+](=O)[O-])n1nncc1)[N+](=O)[O-],1.5208,6.154,15.4,4.602,2.625,570,76.1,241.9
LOJBIV,CCCCCNc1ccc(cc1)[N+](=O)[O-],1.2181,3.835,5.1,1.236,1.198,968,-226.5,313.6
NILZAM,CCOC(=O)c1noc(c1)CO[N+](=O)[O-],1.4563,5.981,14.1,3.969,2.469,622,-506.0,148.0
DNBZIL,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],1.544,5.151,10.9,3.609,1.616,447,-280.6,281.4
MENBEN,[O-][N+](=O)c1ccccc1/C=N/c1ccccc1,1.3212,4.094,6.2,2.523,1.499,594,86.5,270.3
FOKTOO,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-],1.3591,4.019,6.1,1.266,1.031,814,-377.3,291.0
QEYGOS,[O-][N+](=O)c1cccc(c1O)/C=C/C1=Nc2c(C1(C)C)cccc2,1.3404,3.816,5.4,1.729,1.131,654,-192.9,317.3
OWUYOW02,[O-][N+](=O)N(c1nonc1c1nocn1)CCN(c1nonc1c1nocn1)[N+](=O)[O-],1.7503,7.62,25.8,5.497,3.355,610,608.7,112.1
ERAWEB,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2,1.4044,4.312,7.2,2.211,1.467,663,-128.6,281.9
KEQXOV,CCN(C(=C([N+](=O)[O-])[N+](=O)[O-])N(CC)CC)CC,1.2686,5.34,10.2,2.673,2.762,1033,-272.2,261.3
NOHTAZ,C[C@@H]1N([N+](=O)[O-])[C@H](C)N([C@@H](N1[N+](=O)[O-])C)[N+](=O)[O-],1.5803,7.314,22.3,5.34,4.076,763,-44.5,130.9
BIVQAB,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C,1.4021,4.374,7.4,2.244,1.442,642,-177.9,293.5
BOWSIP,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C,1.3722,4.879,9.0,2.626,1.862,709,-145.2,302.2
ZZZJPA01,[O-][N+](=O)c1ccccc1c1ccccc1[N+](=O)[O-],1.447,4.849,9.2,3.844,1.764,458,-31.5,274.7
KUGYAM,[O-][N+](=O)N1CN(CN([C@@H]2[C@H]1N(CN2C(=O)C)C(=O)C)[N+](=O)[O-])[N+](=O)[O-],1.7018,7.099,22.0,4.207,2.993,711,-370.5,151.7
EJEPUE,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-],1.4776,5.452,11.8,4.023,2.197,546,187.3,291.9
TUBYIY01,OCC([N+](=O)[O-])([N+](=O)[O-])CO,1.698,7.853,26.9,4.893,3.631,742,-505.5,165.0
JACYOB,NC(=O)c1cccc(c1)[N+](=O)[O-],1.4745,4.972,9.8,2.852,1.539,539,-253.7,290.4
KIZCUT,[O-][N+](=O)NC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7295,7.755,26.5,4.262,2.928,687,-398.3,145.0
VEGGUJ,[O-][N+](=O)N1CN([N+](=O)[O-])C(=O)N(C1)[N+](=O)[O-],1.9311,9.192,39.8,6.106,4.346,711,-28.0,134.1
CUNWEN,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.5238,5.664,13.1,3.325,1.872,563,-678.7,274.2
SITQIX,Cc1c(cc(cc1[N+](=O)[O-])n1ncnc1)[N+](=O)[O-],1.575,6.026,15.1,4.235,2.381,562,107.9,250.2
BUYJAG,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC,1.2815,4.48,7.2,1.552,1.326,854,-1044.7,213.9
ZOWDIY,[O-][N+](=O)c1cccc(c1)N(c1nnn[nH]1)C,1.4943,5.814,13.6,3.423,2.439,712,269.5,285.6
QUYKUR01,[O-][N+](=O)c1ccc(cc1)/C=N/c1cccc(c1C)C,1.2997,3.803,5.3,1.755,1.237,705,-37.9,291.2
WOJJUC01,[O-][N+](=O)c1ccccc1/C=N/N(c1ccccc1)c1ccccc1,1.3635,3.967,5.9,2.117,1.346,635,187.6,277.6
