ID,smiles,density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,BDE
BUYPUG10,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.6053,6.573,18.2,4.415,2.816,637,-452.7,218.9
RAVNEH,CC(=O)N(c1c(C)ccc(c1[N+](=O)[O-])C)C(=O)C,1.2882,4.113,6.1,1.659,1.188,716,-552.8,264.9
ABENUQ,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-],1.5644,5.799,13.9,2.928,1.94,662,-714.2,304.7
PEZPIV,Cc1nn2c(n1)n(nc2c1ccc(cc1)[N+](=O)[O-])C(=O)C,1.488,5.115,10.5,2.677,1.677,626,40.1,287.5
XUCJEM,[O-][N+](=O)c1cn(cn1)C,1.4842,6.043,14.6,3.717,2.621,705,-11.7,305.7
TUNWAB,[O-][N+](=O)c1ccccc1NN=C1CCCCC1,1.2799,4.37,6.9,1.976,1.709,864,-23.1,314.7
DUXSIY,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N,1.4055,5.275,10.7,4.225,2.307,546,140.5,286.4
WEFBEQ,Nc1ccc(cc1NCc1ccccn1)[N+](=O)[O-],1.3497,4.423,7.3,1.992,1.462,734,2.5,312.2
TAFCEI,[O-][N+](=O)c1cc(cc(c1Nc1ccc(cc1)c1ccccc1)[N+](=O)[O-])[N+](=O)[O-],1.5283,5.096,10.6,3.756,1.771,471,-26.9,230.7
GAKWUM,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-],1.5461,6.205,15.8,4.796,2.664,555,332.6,260.1
DEMNOY,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-],1.4783,6.041,14.5,4.322,2.782,643,-433.6,88.6
EQEBIN,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-],1.2946,3.943,5.6,1.508,1.239,821,-154.8,314.3
JOWWIB,[O-][N+](=O)c1n[nH]c(n1)N,1.8189,7.817,27.8,4.25,3.135,737,86.3,285.1
MTNOAN10,CC(=O)N(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C,1.5762,6.471,17.4,4.525,2.676,591,-274.9,242.1
FETRAY,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C,1.3552,4.301,6.9,2.119,1.351,637,-539.7,244.6
DEPVUP,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-],1.543,5.806,13.8,4.36,2.386,547,-249.1,138.3
CNOXPA,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C,1.3707,4.875,9.0,2.624,1.861,709,-145.7,319.1
LULYEW,O=C1C=CC(=C/C/1=C/NCc1ccccc1)[N+](=O)[O-],1.3953,4.231,6.9,2.189,1.34,612,-165.1,313.4
DAVXIH,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-],1.5197,6.228,15.8,4.222,2.73,646,-591.4,108.2
LORJAD,CCOC(=O)/C(=C/N/N=C\1/N(C)C(=O)N(C(=O)/C1=N\O)C)/[N+](=O)[O-],1.4926,5.61,12.6,2.971,1.945,654,-680.5,285.4
FIDHIL,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N,1.4628,4.864,9.4,2.718,1.64,603,81.9,321.3
HNIABZ20,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7956,7.742,27.1,5.901,3.217,545,214.2,231.9
KOFDUF,OCCNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.5737,5.918,14.6,3.542,2.099,592,-482.9,277.5
PUWGIX,COC(=O)/C(=C(\c1ccccc1)/N1CCCCC1)/[N+](=O)[O-],1.2889,4.089,6.0,1.68,1.297,772,-480.3,248.5
VAXLAJ,O=C(OC(C)(C)C)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.4448,5.26,10.9,2.978,1.885,633,-608.6,287.9
GANTAT01,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-],1.8273,7.903,28.5,5.33,3.361,630,706.2,257.3
JABLUW01,[O-][N+](=O)n1ccc(n1)n1cnnn1,1.6681,7.37,23.4,5.404,3.51,649,516.3,150.9
FABROP10,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-],1.5115,5.18,10.9,3.901,1.834,470,101.6,230.6
DEWBOW,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-],1.5059,4.713,9.0,1.886,1.284,681,-471.6,301.5
SIDQEB,Oc1ccc2c(c1/C=N/c1cccc(c1)[N+](=O)[O-])cccc2,1.4049,3.906,5.9,2.034,1.092,536,-131.7,289.1
XEBHET,CC([N-][N+](=O)c1nonc1N[N+](=O)[O-])(C)C,1.4366,6.78,18.0,5.269,4.103,778,244.5,132.5
SEDMIZ,[O-][N+](=O)c1ccc(cc1)/C=N/N(c1ccccc1)c1ccccc1,1.292,3.794,5.2,2.03,1.291,635,160.1,299.0
DAXMUL,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-],1.5512,5.134,10.9,2.231,1.48,663,-848.9,308.3
FABJAW,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1,1.2832,3.903,5.5,1.889,1.267,670,20.8,273.2
RIYTID,N#Cc1cc(ccc1C)[N+](=O)[O-],1.3841,4.74,8.6,3.288,1.818,552,48.9,286.9
QIKDET,Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.6005,6.421,17.3,4.459,2.592,581,-85.1,283.3
JEXMAA,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7113,8.072,28.6,5.825,4.254,730,73.5,142.5
DOKVUV,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1,1.3585,4.082,6.3,1.842,1.153,626,-440.8,301.9
LOLGAV01,[O-][N+](=O)c1ccccc1n1nnc(c1)c1ccccc1,1.3831,4.457,7.6,2.673,1.575,589,227.5,257.9
ERUSUH,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-],1.3009,3.541,4.6,1.695,0.955,563,-186.5,294.1
TENZOD,Nn1nc(c(n1)[N+](=O)[O-])[N+](=O)[O-],1.868,9.083,38.1,6.495,4.599,707,297.4,258.0
FAKWET,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-],1.5086,5.341,11.5,3.752,1.939,516,6.1,295.4
XUWCEX,[O-][N+](=O)c1ccc(cc1)/C=C/c1ccc(cc1)[N+](=O)[O-],1.4527,4.743,8.9,3.487,1.735,497,-26.0,289.5
GIVJAX,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1,1.38,4.514,7.7,2.547,1.591,624,63.9,294.7
JUPRIV,[O-][N+](=O)c1cc(cc(c1N(C)C)[N+](=O)[O-])[N+](=O)[O-],1.608,6.79,19.4,5.102,3.124,612,-57.0,238.5
KAHHUY,[O-][N+](=O)c1c(N)[nH]nc1[N+](=O)[O-],1.8716,8.394,32.6,5.391,3.664,679,77.1,260.1
RASZIU,CN(CC[NH2+]Cc1cc(ccc1[O-])[N+](=O)[O-])C,1.2686,4.39,6.9,1.621,1.518,936,-338.2,310.1
EZESOS,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C,1.3143,4.521,7.5,2.457,1.75,712,-185.1,270.5
TOYYIP,Cc1ccnc(c1)c1nccc(c1)Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.384,4.502,7.7,2.736,1.576,575,-9.6,261.2
JAWKIC,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.3404,4.391,7.2,2.292,1.638,714,162.9,303.8
VUXLUV,[O-][N+](=O)c1nccn1C[C@@H](COC)O,1.4378,5.62,12.4,2.926,2.281,779,-379.4,286.4
HABMAZ,[O-][N+](=O)/N=c/1\cc(C)ccn1O,1.5419,6.235,15.9,4.394,2.911,662,17.0,88.7
LUDGAS,CN(c1ccc(cc1)C(=O)c1ccc(cc1)[N+](=O)[O-])C,1.3576,4.088,6.3,1.948,1.292,663,-199.5,291.4
ROFNIK,Cc1ccc(cc1c1nnn[nH]1)[N+](=O)[O-],1.4473,5.491,11.8,3.414,2.238,655,216.3,285.9
TOHXAP01,Nc1ccccc1C#Cc1ccccc1[N+](=O)[O-],1.3322,4.131,6.3,2.839,1.602,564,192.1,291.6
ZAMVEO,O=C1CCCC(=C1)Nc1cccc(c1)[N+](=O)[O-],1.3887,4.37,7.3,2.072,1.4,675,-244.8,289.7
SIRXAS,[O-][N+](=O)[C@]1(C)C=C[C@@](c2c1cccc2)(C)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.5332,6.194,15.7,4.886,2.798,572,-127.9,104.4
CMDNFL,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N,1.5495,4.889,9.8,3.878,1.502,387,309.2,279.7
ZAMWEP,[O-][N+](=O)c1cn(c(n1)C)c1ccccc1,1.4125,4.654,8.4,2.416,1.599,661,6.8,307.4
OMIWEM,[O-][N+](=O)C1=[N+]2C=CC=[N+]2C=C1,1.5634,6.044,15.1,4.579,2.716,593,207.8,280.0
CIFROY,[O-][N+](=O)c1n[nH]cn1,1.669,7.466,24.1,4.79,3.293,687,106.9,281.1
DIXDUJ,CC(=O)Nc1ccccc1[N+](=O)[O-],1.4379,4.865,9.3,2.57,1.598,622,-263.1,300.0
HAYYEM,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.5524,5.818,13.9,4.469,2.322,519,-113.8,104.3
SEFPEY,Cc1cc(nc(c1)C)NC(=O)[C@@H](c1ccc(cc1)[N+](=O)[O-])C,1.3169,3.707,5.0,1.174,0.879,748,-374.5,294.5
YAGTIL,COc1ccc(c(c1)O)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-],1.4219,4.583,8.1,2.479,1.41,568,-428.5,284.9
URAXAO,O=C1CCCCN1c1ccc(cc1)[N+](=O)[O-],1.3673,4.356,7.2,1.915,1.364,712,-304.3,299.0
KUZVUX02,[O-][N+](=O)c1cn(c(n1)C)CC(=O)OCC,1.4146,5.069,9.9,2.268,1.669,735,-484.4,308.8
DEQPUN,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-],1.3378,4.033,6.0,2.117,1.359,642,107.1,288.9
TAXSER,CCC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/[N+](=O)[O-],1.4942,6.178,15.3,4.649,2.892,622,-50.6,242.7
NACXEU01,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@]42[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.9592,8.902,37.6,7.376,4.143,561,389.9,222.7
VUZHII,O=C(c1ccccc1C)N/N=C/c1ccc(cc1)[N+](=O)[O-],1.351,4.23,6.7,2.172,1.375,633,-110.9,293.3
ENIZEG,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C,1.4207,4.135,6.6,2.031,1.173,577,-337.9,290.1
VACRAT,Cc1cc/c(=N\[N+](=O)[O-])/n(c1)O,1.5349,6.227,15.9,4.423,2.93,662,22.0,84.2
JINYEK,CN1N=NN(C(/C/1=N/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C)C,1.3819,5.682,12.3,3.632,2.787,767,198.7,282.5
JOKTIM,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])[C@]2(C(=C1)[N+](=O)[O-])OCc1[n+]2cccc1,1.6523,6.288,17.0,4.508,2.366,524,-117.6,310.6
KAWQAD,COc1ccc(cc1)n1c(C=O)cc(c1c1ccc(cc1)[N+](=O)[O-])C=O,1.3594,4.028,6.1,2.269,1.161,511,-415.2,289.0
GEYNON,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],1.7706,6.679,20.0,4.055,2.081,513,-495.8,260.4
DUPJUV,[O-][N+](=O)Cc1nnc(o1)c1ccccc1,1.4933,5.156,10.7,3.292,1.798,546,-50.8,155.1
KUTKOA,[O-][N+](=O)/N=C/1\NCN(CN1C)Cc1ccccc1,1.4015,4.95,9.4,2.021,1.817,899,19.6,207.7
POTGUC,[O-][N+](=O)C1([N+](=O)[O-])[C@H]2C[C@H]3C([C@@H]1C[C@@H](C2([N+](=O)[O-])[N+](=O)[O-])C3)([N+](=O)[O-])[N+](=O)[O-],1.777,7.85,27.6,5.56,3.527,634,-332.5,106.0
NBCBRE10,N#C[C@@H]1[C@H]2C[C@H]3[C@@H]1C=C[C@H]3[C@@H]2OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.4558,4.801,9.1,3.189,1.609,504,-319.3,276.1
YORYEJ,O=CNCC([N+](=O)[O-])([N+](=O)[O-])C,1.5552,6.908,19.7,4.338,3.156,727,-375.7,152.3
ACOWUK,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],1.7324,7.849,27.2,5.531,3.678,664,-183.7,169.3
JEKHIR,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O,1.3168,4.349,6.9,1.827,1.391,761,-672.2,287.5
LIBMUF,COc1ccc(c(c1)O)/C(=N/NC(=O)c1ccc(cc1)[N+](=O)[O-])/C,1.4528,4.577,8.3,2.228,1.365,612,-476.4,287.2
ZUCMOB,Cc1onc(c1/N=N/c1ccccc1[N+](=O)[O-])C,1.3896,5.167,10.2,3.509,2.236,637,137.7,272.1
TEWJUA,CC(Nc1c([N+](=O)[O-])c(N)c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])C,1.6036,6.539,18.0,4.235,2.845,671,-183.7,250.9
LIJKEV,[O-][N+](=O)c1cn(c(n1)C)c1cccnc1,1.5243,5.235,11.2,2.765,1.821,658,80.4,304.6
FOVXAP,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C,1.3124,4.112,6.2,1.988,1.442,725,-54.3,292.1
ZOXYIU,[O-][N+](=O)C[C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1,1.3598,5.113,9.8,3.232,2.262,699,-243.4,212.2
CUDYIL,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,1.575,5.428,12.3,2.269,1.412,622,-834.6,285.5
PAVZIX,Nc1ccc(cc1)C(=O)N/N=C/c1ccccc1[N+](=O)[O-],1.5487,4.862,9.7,2.372,1.496,630,-51.8,277.4
NEDCAA,[O-][N+](=O)c1ccc(cc1)N/C=N/c1ccc(cc1)[N+](=O)[O-],1.4634,5.079,10.2,3.395,1.861,548,3.5,297.0
NUQRUN,O=C(c1ccccc1[N+](=O)[O-])N/N=C/c1c(O)ccc2c1cccc2,1.4342,4.211,6.9,2.217,1.185,534,-224.7,268.6
RILXOB,O=[N+]1C(=[N+]=c2c(=C1C)cccc2)c1ccc(cc1)[N+](=O)[O-],1.4825,4.636,8.6,2.83,1.578,557,69.7,292.0
MNPMAL01,O=C(Nc1cccc(c1)[N+](=O)[O-])/C=C\C(=O)O,1.5611,5.04,10.5,2.558,1.335,521,-562.8,283.0
JODSEA,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],1.3137,3.893,5.6,1.83,1.12,612,-257.1,298.8
WEHCOD,N#Cc1c(oc2c1cc(cc2)[N+](=O)[O-])c1ccccc1,1.4243,4.06,6.4,2.748,1.165,424,-0.2,290.0
YILPEQ,[O-][N+](=O)c1cnc(nc1)N1CCOCC1,1.5308,5.653,13.0,2.843,2.122,746,-128.5,305.1
XATHOR,[O-][N+](=O)c1ccc2c(c1)nc1n2C(=CC(C1)(C)C)C,1.3023,3.861,5.4,1.403,1.1,784,-123.1,300.4
HECGAX,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-],1.4321,4.846,9.2,2.294,1.649,719,16.5,314.7
ATOPOP,Cc1cccc(c1/N=C/c1ccc(cc1)[N+](=O)[O-])C,1.2234,3.668,4.7,1.764,1.244,705,-35.6,289.7
DEXJAU,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-],1.5375,4.891,9.8,2.75,1.384,503,-237.6,300.2
NOACTD,[O-][N+](=O)CC(=O)N,1.5922,6.798,19.4,3.476,2.62,753,-320.1,209.2
BINSUM,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7978,8.492,32.6,5.669,3.834,676,-545.3,147.1
PILGEX,COc1ccc(cc1)C(=O)N/N=C/c1ccccc1[N+](=O)[O-],1.3879,4.512,7.8,2.535,1.519,599,-209.5,276.4
